Origin,Destination,Flight Number,Departure Time,Arrival Time,Flight Time,Routing,Days Of Operations,Connection Flight No,Effective From,EffectiveTo
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"M,W,Th,F,Sa,Su",G8 2504,45024,45025
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"W,F,Sa,Su",G8 2504,45026,45029
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,"Tu,W,F,Sa,Su",G8 365,45026,45029
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,Daily,G8 365,45030,45032
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"M,W,Th,F,Sa,Su",G8 2504,45030,45032
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"W,F,Sa,Su",G8 2504,45033,45043
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,"Tu,W,F,Sa,Su",G8 365,45033,45043
Abu Dhabi,Ahmedabad,G8 4,01:05,20:40,18:05,Via BOM,"Tu,F",G8 364,45027,45044
Abu Dhabi,Ahmedabad,G8 4,01:05,13:20,10:45,Via BOM,"Tu,F",G8 2504,45027,45044
Abu Dhabi,Ahmedabad,G8 6,23:30,08:25,07:25,Via BOM,Daily,G8 365,45040,45046
Abu Dhabi,Ahmedabad,G8 6,23:30,13:20,12:20,Via BOM,"M,W,Th,F,Sa,Su",G8 2504,45044,45046
Abu Dhabi,Ahmedabad,G8 76,22:45,18:35,18:20,Via DEL,Daily,G8 717,45024,45226
Abu Dhabi,Amritsar,G8 6,23:30,11:00,10:00,Via BOM,Daily,G8 2411,45026,45031
Abu Dhabi,Amritsar,G8 4,01:05,20:50,18:15,Via BOM,"Tu,F",G8 2417,45027,45044
Abu Dhabi,Amritsar,G8 6,23:30,11:00,10:00,Via BOM,Sa,G8 2411,45038,45045
Abu Dhabi,Bagdogra,G8 76,22:45,15:45,15:30,Via DEL,Daily,G8 157,45024,45226
Abu Dhabi,Bangkok,G8 76,22:45,13:45,12:00,Via DEL,"M,W,F",G8 37,45026,45030
Abu Dhabi,Bangkok,G8 76,22:45,13:45,12:00,Via DEL,"M,Tu,W,F",G8 37,45033,45040
Abu Dhabi,Bangkok,G8 76,22:45,13:45,12:00,Via DEL,"W,F",G8 37,45042,45044
Abu Dhabi,Chandigarh,G8 6,23:30,11:15,10:15,Via BOM,"M,Tu,W,Th,F,Su",G8 381,45024,45025
Abu Dhabi,Chandigarh,G8 6,23:30,17:05,16:05,Via BOM,"Tu,W,F,Sa,Su",G8 461,45027,45027
Abu Dhabi,Chandigarh,G8 4,01:05,17:05,14:30,Via BOM,"Tu,F",G8 461,45028,45028
Abu Dhabi,Chandigarh,G8 6,23:30,11:15,10:15,Via BOM,"Tu,W,F,Su",G8 381,45026,45029
Abu Dhabi,Chandigarh,G8 6,23:30,11:15,10:15,Via BOM,"M,Tu,W,Th,F,Su",G8 381,45030,45032
Abu Dhabi,Chandigarh,G8 6,23:30,17:05,16:05,Via BOM,"Tu,W,F,Sa,Su",G8 461,45034,45034
Abu Dhabi,Chandigarh,G8 4,01:05,17:05,14:30,Via BOM,"Tu,F",G8 461,45035,45035
Abu Dhabi,Chandigarh,G8 4,01:05,21:05,18:30,Via BOM,"Tu,F",G8 2506,45027,45040
Abu Dhabi,Chandigarh,G8 6,23:30,17:05,16:05,Via BOM,"Tu,W,F,Sa,Su",G8 461,45041,45041
Abu Dhabi,Chandigarh,G8 4,01:05,17:05,14:30,Via BOM,"Tu,F",G8 461,45042,45042
Abu Dhabi,Chandigarh,G8 6,23:30,11:15,10:15,Via BOM,"Tu,W,F,Su",G8 381,45033,45043
Abu Dhabi,Chandigarh,G8 4,01:05,21:35,19:00,Via BOM,"Tu,F",G8 2506,45041,45044
Abu Dhabi,Chandigarh,G8 6,23:30,11:15,10:15,Via BOM,"M,Tu,W,Th,F,Su",G8 381,45044,45046
Abu Dhabi,Dehra Dun,G8 6,23:30,16:25,15:25,Via BOM,"Tu,W,F,Sa,Su",G8 2315,45026,45029
Abu Dhabi,Dehra Dun,G8 6,23:30,16:25,15:25,Via BOM,Daily,G8 2315,45030,45032
Abu Dhabi,Dehra Dun,G8 6,23:30,16:25,15:25,Via BOM,"Tu,W,F,Sa,Su",G8 2315,45033,45039
Abu Dhabi,Dehra Dun,G8 4,01:05,16:25,13:50,Via BOM,"Tu,F",G8 2315,45027,45040
Abu Dhabi,Dehra Dun,G8 6,23:30,15:45,14:45,Via BOM,"Tu,W,F",G8 2315,45040,45043
Abu Dhabi,Dehra Dun,G8 4,01:05,15:45,13:10,Via BOM,"Tu,F",G8 2315,45041,45044
Abu Dhabi,Dehra Dun,G8 6,23:30,15:45,14:45,Via BOM,"M,Tu,W,Th,F",G8 2315,45044,45044
Abu Dhabi,Dehra Dun,G8 6,23:30,16:25,15:25,Via BOM,Daily,G8 2315,45040,45046
Abu Dhabi,Delhi,G8 6,23:30,19:50,18:50,Via BOM,"Tu,W,F,Sa,Su",G8 339,45026,45029
Abu Dhabi,Delhi,G8 6,23:30,19:50,18:50,Via BOM,Daily,G8 339,45030,45032
Abu Dhabi,Delhi,G8 6,23:30,19:50,18:50,Via BOM,"Tu,W,F,Sa,Su",G8 339,45033,45043
Abu Dhabi,Delhi,G8 4,01:05,19:50,17:15,Via BOM,"Tu,F",G8 339,45027,45044
Abu Dhabi,Delhi,G8 6,23:30,19:50,18:50,Via BOM,Daily,G8 339,45040,45046
Abu Dhabi,Delhi,G8 76,22:45,03:55,03:40,Non Stop,Daily,-,45024,45227
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,"M,Tu,W,Th,F,Su",G8 382,45024,45025
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,"Tu,W,F,Su",G8 382,45026,45029
Abu Dhabi,Goa,G8 6,23:30,12:45,11:45,Via BOM,"Tu,W,F,Sa,Su",G8 331,45026,45029
Abu Dhabi,Goa,G8 6,23:30,17:55,16:55,Via BOM,"Tu,W,F,Sa,Su",G8 371,45026,45029
Abu Dhabi,Goa,G8 6,23:30,17:55,16:55,Via BOM,Daily,G8 371,45030,45032
Abu Dhabi,Goa,G8 6,23:30,12:45,11:45,Via BOM,Daily,G8 331,45030,45032
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,"M,Tu,W,Th,F,Su",G8 382,45030,45032
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,"Tu,W,F,Su",G8 382,45033,45043
Abu Dhabi,Goa,G8 6,23:30,12:45,11:45,Via BOM,"Tu,W,F,Sa,Su",G8 331,45033,45043
Abu Dhabi,Goa,G8 6,23:30,17:55,16:55,Via BOM,"Tu,W,F,Sa,Su",G8 371,45033,45043
Abu Dhabi,Goa,G8 4,01:05,12:45,10:10,Via BOM,"Tu,F",G8 331,45027,45044
Abu Dhabi,Goa,G8 4,01:05,17:55,15:20,Via BOM,"Tu,F",G8 371,45027,45044
Abu Dhabi,Goa,G8 4,01:05,16:40,14:05,Via BOM,"Tu,F",G8 382,45027,45044
Abu Dhabi,Goa,G8 6,23:30,17:55,16:55,Via BOM,Daily,G8 371,45040,45046
Abu Dhabi,Goa,G8 6,23:30,12:45,11:45,Via BOM,Daily,G8 331,45040,45046
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,"M,Tu,W,Th,F,Su",G8 382,45044,45046
Abu Dhabi,Goa,G8 6,23:30,16:40,15:40,Via BOM,Sa,G8 382,45024,45046
Abu Dhabi,Goa,G8 76,22:45,13:20,13:05,Via DEL,Daily,G8 286,45024,45226
Abu Dhabi,Guwahati,G8 76,22:45,14:55,14:40,Via DEL,Daily,G8 151,45024,45226
Abu Dhabi,Jammu,G8 6,23:30,13:20,12:20,Via BOM,"Tu,W,F,Sa,Su",G8 287,45026,45029
Abu Dhabi,Jammu,G8 6,23:30,13:20,12:20,Via BOM,Daily,G8 287,45030,45030
Abu Dhabi,Jammu,G8 4,01:05,13:20,10:45,Via BOM,"Tu,F",G8 287,45027,45031
Abu Dhabi,Jammu,G8 6,23:30,13:20,12:20,Via BOM,Daily,G8 287,45032,45032
Abu Dhabi,Jammu,G8 6,23:30,13:20,12:20,Via BOM,"Tu,W,F,Sa,Su",G8 287,45033,45043
